文件名,标签,LLM判断结果
addFilter.jsp,1,1
Attach.java,1,1
ControllerBased.java,1,1
DASCTFCBCTF2022.java,1,1
DASCTFCBCTF2023.java,1,1
demo.java,1,0
demo2.java,1,1
filter.jsp,1,1
FilterBasedBasic_2.java,1,1
FilterBasedBasic_3.java,1,1
FilterBasedBasic_4.java,1,1
FilterBasedWithoutRequest.java,1,1
FilterBasedWithoutRequestVariant_1.java,1,1
FilterBasedWithoutRequestVariant_2.java,1,1
FilterBasedWithoutRequestVariant_4.java,1,1
FilterBasedWithoutRequest_1.java,1,1
FilterBasedWithoutRequest_2.java,1,1
FilterBasedWithoutRequest_4.java,1,1
FilterTemplate.java,1,1
FliterMSDemo.java,1,1
listener.jsp,1,1
ListerMSDemo.java,1,1
POJOJackson.java,1,1
servlet.jsp,1,1
ServletBasedBasic_2.java,1,1
ServletBasedWithoutRequest.java,1,1
ServletBasedWithoutRequestVariant_1.java,1,1
ServletBasedWithoutRequestVariant_2.java,1,1
ServletBasedWithoutRequest_1.java,1,1
ServletBasedWithoutRequest_2.java,1,0
ServletMSDemo.java,1,1
ServletTemplate.java,1,1
shell.jsp,1,1
SpringBootEcho_fd.java,1,0
SpringControllerDemo.java,1,1
SpringWebFluxDemo.java,1,1
TomcatExecutorDemo.java,1,1
TomcatShellInject.java,1,1
TomcatUpgrade.java,1,1
TomcatValveDemo.java,1,1
AsyncListener.java,0,0
FilterChain.java,0,0
FilterConfig.java,0,0
FilterRegistration.java,0,0
GenericFilter.java,0,0
GenericServlet.java,0,0
HttpFilter.java,0,0
HttpServlet.java,0,0
HttpServletMapping.java,0,0
HttpServletRequestWrapper.java,0,0
HttpServletResponse.java,0,0
HttpSessionIdListener.java,0,0
ReadListener.java,0,0
Servlet.java,0,0
ServletConfig.java,0,0
ServletConnection.java,0,0
ServletContainerInitializer.java,0,0
ServletContext.java,0,0
ServletContextAttributeEvent.java,0,0
ServletContextAttributeListener.java,0,0
ServletContextEvent.java,0,0
ServletContextListener.java,0,0
ServletException.java,0,0
ServletInputStream.java,0,0
ServletOutputStream.java,0,0
ServletRegistration.java,0,0
ServletRequest.java,0,0
ServletRequestAttributeEvent.java,0,0
ServletRequestAttributeListener.java,0,0
ServletRequestEvent.java,0,0
ServletRequestListener.java,0,0
ServletRequestWrapper.java,0,0
ServletResponse.java,0,0
ServletResponseWrapper.java,0,0
WebConnection.java,0,0
WebFilter.java,0,0
WebInitParam.java,0,0
WebListener.java,0,0
WebServlet.java,0,0
WriteListener.java,0,0
