文件名,标签,LLM判断结果
addFilter.jsp,1,1
AddServlet.jsp,1,1
Attach.java,1,0
ControllerBased.java,1,0
DASCTFCBCTF2022.java,1,1
DASCTFCBCTF2023.java,1,1
demo.java,1,0
Evil.java,1,0
EvilListener.java,1,1
EvilServlet.java,1,0
filter.jsp,1,1
FilterBasedBasic_2.java,1,1
FilterBasedBasic_3.java,1,0
FilterBasedBasic_4.java,1,0
FilterBasedWithoutRequest.java,1,1
FilterBasedWithoutRequestVariant_1.java,1,0
FilterBasedWithoutRequestVariant_2.java,1,0
FilterBasedWithoutRequestVariant_4.java,1,0
FilterBasedWithoutRequest_1.java,1,0
FilterBasedWithoutRequest_2.java,1,0
FilterBasedWithoutRequest_4.java,1,0
FilterTemplate.java,1,1
FliterMSDemo.java,1,1
hideShell.jsp,1,1
listener.jsp,1,0
ListerMSDemo.java,1,1
POJOJackson.java,1,0
servlet.jsp,1,1
ServletBasedBasic_2.java,1,1
ServletBasedWithoutRequest.java,1,0
ServletBasedWithoutRequestVariant_1.java,1,0
ServletBasedWithoutRequestVariant_2.java,1,0
ServletBasedWithoutRequest_1.java,1,0
ServletBasedWithoutRequest_2.java,1,0
ServletMSDemo.java,1,1
ServletTemplate.java,1,1
shell.jsp,1,0
SpringBootEcho_fd.java,1,1
SpringControllerDemo.java,1,1
SpringWebFluxDemo.java,1,0
TestServlet.java,1,0
TomcatExecutorDemo.java,1,0
TomcatShellInject.java,1,1
TomcatUpgrade.java,1,1
TomcatValveDemo.java,1,1
